Ca,Tr,Ca0,Q
3.601429905,338.8179856,1.691750529,-84.62649967
3.362565215,324.6332087,6.202494081,86.19043167
3.557816989,336.8745308,4.625617148,115.2039926
3.567357117,354.6142151,0.918751457,129.1657437
3.487582965,375.0404784,4.496826518,-54.85608425
3.340607139,365.8243839,6.279940785,44.28258142
3.463273105,373.3266926,7.40551009,-109.0306938
3.64712733,356.6926322,4.566429693,-7.54773531
3.521748356,355.703633,5.065895502,-71.70582404
3.596168758,342.8839471,0.717910444,12.28676563
3.37773601,343.5979288,3.052971252,108.9814741
3.449715658,361.6146742,3.715419163,-22.59608513
3.396912693,356.8267011,4.930338786,7.549676422
3.345746527,356.4772007,7.228477981,80.2805938
3.634887056,370.4838412,3.976868564,-80.23861728
3.51157622,358.0102114,4.727888988,69.04884179
3.466802885,368.1498463,5.791046819,137.0844576
3.549789664,391.594271,2.029484469,-20.65629789
3.297983767,393.4796334,3.46694722,-50.37599356
3.064684029,388.5714342,3.057331133,-6.12741435
3.013481316,390.9670413,4.294632864,-65.2138256
2.924675904,382.3985571,1.440546095,-55.03164392
2.73022203,373.6740564,1.455360657,-50.63883645
2.644015824,365.48222,5.254278766,28.15032333
2.69496643,367.9439757,7.480578266,16.92072075
2.956633834,369.7907956,4.34108338,39.5415421
3.022609893,376.5393252,5.587525594,32.17043022
3.111613275,380.5454054,4.619500455,29.16786719
3.060554242,387.7301453,2.983498225,77.05056023
2.829927771,402.5794283,4.7322232,-52.99145661
2.822952108,398.403689,2.21941699,-119.0927917
2.562049869,379.7538709,2.934104174,-135.3199903
2,300,6.75002106,-46.67228004
2.336517867,294.560638,6.248603861,-127.306503
2.525016583,275.7178912,1.25359676,26.40335328
2.407333921,279.9658141,4.208721535,-22.55349387
2.588999562,277.7911344,2.847854945,34.03317833
2.5521043,285.0253802,3.566989983,65.52281256
2.599319727,295.6277042,4.126254884,21.90516848
2.661619743,297.8102889,5.017485671,136.1734196
2.832012171,319.5189635,6.239007378,-24.11085337
2.917589164,315.0691556,6.633873586,89.93318291
3.195808271,328.389286,0.881321555,60.73257057
2.985643546,336.6079426,6.115193937,65.66851742
3.095073718,346.7812148,5.463922255,11.37134933
3.22576524,346.0478358,1.373769221,127.1242589
3.076375724,364.4709033,3.322794091,-78.62468398
3.044352129,352.2414243,5.520930925,137.279855
3.244778939,373.1262718,2.289298389,47.58595712
3.117929764,380.1373474,4.693041392,60.37004526
3.099490013,392.7214611,7.061446743,-41.16395648
3.111902623,389.7196062,2.275438682,-27.09097188
2.878955149,387.2753725,5.72557502,62.24182926
2.939367459,398.8977916,3.342754572,135.9388576
2.677517422,429.0215673,3.653494965,-35.05321555
2.335114097,439.2768015,5.467400243,-115.9837445
2.042945928,434.0444294,3.288610432,75.24471888
1.866263233,455.7763451,5.853256885,-60.03906493
1.557702422,459.143165,1.826795333,-7.985843768
1.314615404,466.3558729,2.843642312,65.20418403
0.979128198,483.1851181,1.823749809,-46.91553872
0.8753717,479.1743186,6.409598946,31.9511232
0.985655733,484.5027883,6.696848558,132.3758496
0.92866137,512.4752952,6.35836015,-88.65983318
0.742386488,505.1085107,4.828873559,-6.636424622
0.690455598,509.237362,3.329096583,67.18991858
0.583032766,519.9703339,6.281533024,50.89717921
0.571445334,532.0056638,1.474901238,56.34029823
0.415820418,539.3523173,0.911861031,-85.37070829
0.354034158,519.7820342,6.973556355,-26.36043062
0.678023862,511.8469902,1.538040728,50.63531813
0.547210718,514.8149048,1.644421255,41.17368137
0.541062918,516.4153117,2.261299002,-127.3957043
0.537174589,491.053678,7.211058202,-120.4943205
0.743770383,465.9420581,4.090581303,-44.08428374
0.884860011,455.6906952,5.120068731,95.67426796
0.882132236,469.3348263,4.727065897,24.22602721
0.89542417,472.4581314,1.319231249,58.45843119
0.896623281,481.8773726,1.931662805,-2.675613198
0.644632252,478.1737996,0.756259713,-51.27678866
0.648331893,465.5497418,6.54121285,16.24072858
0.892406019,464.6865817,4.326954784,-36.71537546
1.028462144,457.8221968,6.297096796,-62.12487735
1.173418649,445.4216612,1.379608392,17.43919014
0.911797817,446.8381508,2.371373038,76.39859731
1.008470098,455.0901889,1.755844419,78.682415
0.903707299,466.9497321,4.755974246,-127.291989
0.898895088,442.8174149,4.428925925,46.70493008
1.056156936,448.8174726,7.068748247,79.44607825
1.247557235,461.2385681,5.753013301,-0.819173445
1.1237833,465.0160569,0.799127512,88.01875605
1.006121005,482.173007,0.595366209,13.90033048
0.732688926,484.5773235,4.467577399,-107.5226934
0.867651074,465.6705726,0.939433679,20.75673082
0.812514279,464.756783,3.898396861,-55.16053299
0.807283617,451.9246078,0.778568906,37.19281866
0.831481927,452.995069,1.370349782,-135.6650541
